match_id,selected_synergy,card_status,winner,red_cells,blue_cells,score_gap,close_le_6,turns,moves,captures,capture_cell_turns,reclaim_turns,major_capture_turns,frontline_pressure_turns,encircle_pressure_turns,cut_turns,second_player_initiative,bridges,locks,synergies,synergy_labels,combo_label_hits,combo_labels,wild_uses,seed_uses,pass_uses,word_moves,three_letter_words,three_letter_ratio,best_swing,best_word,best_labels,opening,bot_style
11,FORTIFIER,active_scoring,RED,19,17,2,1,36,35,19,19,0,0,0,3,3,1,3,0,1,SYNERGY:Fortifier: locked ground +1T,23,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,4,やき,CAPTURE / SWING MOVE / FIRST CAPTURE / COMEBACK / SECOND PLAYER INITIATIVE,やまみち（山道）,Builder
12,COMEBACK_SPARK,active_scoring,RED,20,16,4,1,36,35,16,16,0,0,0,3,6,1,7,0,1,SYNERGY:Comeback Spark: comeback pressure +2T,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,18,0.514,5,ほか,SWING MOVE / COMEBACK / SECOND PLAYER INITIATIVE,ほしぞら（星空）,Raider
13,BORDER_LORD,active_scoring,RED,21,17,4,1,36,35,22,21,0,1,0,8,6,1,5,0,2,SYNERGY:Border Lord: center held +1T,26,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,17,0.486,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Raider
14,FORTIFIER,active_scoring,BLUE,17,23,6,1,36,35,25,22,0,3,0,6,6,1,4,1,1,SYNERGY:Fortifier: locked ground +1T,24,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,23,0.657,7,まちなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / COMEBACK / BRIDGE / CUT / SYNERGY:Fortifier: locked ground +1T,もりみち（森）,Raider
15,COMEBACK_SPARK,active_scoring,DRAW,18,18,0,1,36,35,14,13,0,1,0,1,4,1,5,1,0,,20,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,12,0.343,6,はなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,もりみち（森）,Raider
16,BORDER_LORD,active_scoring,RED,21,14,7,0,36,35,22,18,0,4,0,3,7,1,3,0,2,SYNERGY:Border Lord: center held +1T,26,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,20,0.571,6,つなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Defender
17,FORTIFIER,active_scoring,BLUE,14,20,6,1,36,35,24,22,0,2,0,3,8,1,6,0,1,SYNERGY:Fortifier: locked ground +1T,26,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,23,0.657,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Defender
18,COMEBACK_SPARK,active_scoring,BLUE,15,22,7,0,36,35,26,24,0,2,0,5,7,1,5,2,3,SYNERGY:Comeback Spark: comeback pressure +1T / SYNERGY:Comeback Spark: comeback pressure +2T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,27,0.771,7,こころ,MEGA TERRITORY / SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,こころ（心）,Builder
19,BORDER_LORD,active_scoring,BLUE,15,23,8,0,36,35,17,16,0,1,0,4,4,1,5,8,2,SYNERGY:Border Lord: center held +1T,25,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,14,0.4,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Builder
20,FORTIFIER,active_scoring,BLUE,16,23,7,0,36,35,26,26,0,0,0,3,4,1,4,1,1,SYNERGY:Fortifier: locked ground +1T,30,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,28,0.8,7,こころ,MEGA TERRITORY / SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,こころ（心）,Raider
